"Id","Direction","Class"
"21125","server->client","UbaWindowInitializationCommand"
"27641","server->client","Ubaz3QModule"
"2072","server->client","UpdateMenuItemCooldownGroupTimerCommand"
"14317","server->client","UpdateWindowItemCommand"
"423","server->client","UserKeyBindingsModule"
"13016","server->client","UserKeyBindingsUpdateCommand"
"18381","server->client","UserSettingsCommand"
"1271","server->client","VideoWindowCreateCommand"
"12647","server->client","VisualModifierCommand"
"1110","server->client","WindowSettingsModule"
"15665","client->server","AssetHandleClickRequest"
"32621","client->server","AudioSettingsRequest"
"6532","client->server","CollectBoxRequest"
"8020","client->server","DisplaySettingsRequest"
"26941","client->server","EmergencyRepairRequest"
"25300","client->server","GameplaySettingsRequest"
"25971","client->server","KillscreenRequest"
"4224","client->server","LegacyModuleRequest"
"10996","client->server","LoginRequest"
"17063","client->server","MoveRequest"
"31849","client->server","PetGearActivationRequest"
"645","client->server","PetRequest"
"31697","client->server","ProActionBarRequest"
"20038","client->server","QualitySettingsRequest"
"18168","client->server","ReadyRequest"
"18889","client->server","SelectMenuBarItemRequest"
"7606","client->server","SendWindowUpdateRequest"
"18091","client->server","ShipSelectRequest"
"18681","client->server","SlotBarConfigSetRequest"
"23586","client->server","UIOpenRequest"
"13016","client->server","UserKeyBindingsUpdateRequest"
"30907","client->server","WindowSettingsRequest"
"7044","client->server","BuildStationRequest"
"2520","client->server","EquipModuleRequest"
"16131","client->server","UnEquipModuleRequest"
"11175","client->server","GroupAcceptInvitationRequest"
"540","client->server","GroupChangeLeaderRequest"
"758","client->server","GroupFollowPlayerRequest"
"13359","client->server","GroupInvitationRequest"
"29161","client->server","GroupKickPlayerRequest"
"32380","client->server","GroupPingPlayerRequest"
"2656","client->server","GroupPingPositionRequest"
"7101","client->server","GroupRejectInvitationRequest"
"10196","client->server","GroupRevokeInvitationRequest"
