asset,island,tris,verts,diag,size_share_of_asset,flat_card,closed,boundary_edges,rot_order,rot_frac,rot_axis,radial_slots,slot_regularity,sphere_fit_rms_rel,median_valence,aspect,size
aegis-ship-pod,24,18,11,12.902,0.073,False,True,0,0,0.0,,7,0.272,0.0629,5,3.21,"[3.329, 10.702, 6.391]"
aegis-ship-pod,26,18,11,13.791,0.078,False,True,0,0,0.0,,7,0.265,0.066,5,2.17,"[6.141, 11.215, 5.167]"
aegis-ship-pod,13,18,11,12.829,0.073,False,True,0,0,0.0,,7,0.272,0.0629,5,3.1,"[3.436, 10.646, 6.281]"
aegis-ship-pod,30,18,11,12.756,0.072,False,True,0,0,0.0,,7,0.271,0.0629,5,1.85,"[6.548, 9.626, 5.214]"
aegis-ship-pod,1,16,10,22.732,0.129,False,True,0,0,0.0,,10,-0.293,0.1258,5,2.24,"[8.464, 9.22, 18.975]"
aegis-ship-pod,27,16,10,22.754,0.129,False,True,0,0,0.0,,10,-0.293,0.1258,5,2.07,"[17.106, 8.248, 12.534]"
aegis-ship-pod,3,16,10,22.754,0.129,False,True,0,0,0.0,,10,-0.272,0.1255,5,2.07,"[17.106, 8.248, 12.534]"
aegis-ship-pod,37,16,10,22.732,0.129,False,True,0,0,0.0,,10,-0.293,0.1258,5,2.24,"[8.464, 9.22, 18.975]"
aegis-ship-pod,4,14,14,16.202,0.092,False,False,11,0,0.0,,7,0.491,0.1631,3,3.75,"[9.146, 12.923, 3.443]"
aegis-ship-pod,5,14,9,9.556,0.054,False,True,0,0,0.0,,9,0.622,0.0026,5,1.87,"[5.492, 3.689, 6.895]"
aegis-ship-pod,2,14,14,16.201,0.092,False,False,11,0,0.0,,7,0.474,0.1776,3,3.75,"[9.145, 12.922, 3.442]"
aegis-ship-pod,29,14,14,16.577,0.094,False,False,11,0,0.0,,7,0.349,0.1726,3,2.97,"[4.77, 14.159, 7.182]"
aegis-ship-pod,34,14,14,15.684,0.089,False,False,11,0,0.0,,7,0.474,0.1776,3,2.97,"[7.329, 13.143, 4.419]"
aegis-ship-pod,6,14,14,15.929,0.09,False,False,11,0,0.0,,7,0.474,0.1776,3,2.55,"[5.256, 13.397, 6.828]"
aegis-ship-pod,36,14,14,15.883,0.09,False,False,11,0,0.0,,7,0.491,0.1631,3,2.97,"[7.744, 13.144, 4.42]"
aegis-ship-pod,33,14,14,16.566,0.094,False,False,11,0,0.0,,7,0.367,0.1555,3,2.99,"[4.73, 14.159, 7.183]"
aegis-ship-pod,15,14,14,16.057,0.091,False,False,11,0,0.0,,7,0.491,0.1631,3,2.55,"[5.258, 13.397, 7.121]"
aegis-ship-pod,11,12,8,10.522,0.06,False,True,0,0,0.0,,4,0.36,0.0023,4,4.46,"[2.057, 9.18, 4.712]"
aegis-ship-pod,17,12,8,18.019,0.102,False,True,0,0,0.0,,6,0.04,0.0031,4,2.43,"[6.026, 14.641, 8.603]"
aegis-ship-pod,0,12,8,11.989,0.068,False,True,0,0,0.0,,6,0.84,0.0619,4,1.03,"[6.984, 6.986, 6.794]"
aegis-ship-pod,35,12,8,10.489,0.06,False,True,0,0,0.0,,6,0.84,0.0619,4,1.15,"[6.346, 6.256, 5.531]"
aegis-ship-pod,25,12,8,10.621,0.06,False,True,0,0,0.0,,4,0.36,0.0023,4,4.45,"[2.058, 9.154, 4.977]"
aegis-ship-pod,8,8,6,19.692,0.112,False,True,0,0,0.0,,2,0.0,0.0,4,62.11,"[0.307, 19.064, 4.924]"
aegis-ship-pod,23,8,6,19.716,0.112,False,True,0,0,0.0,,2,0.0,0.0,4,53.81,"[0.352, 18.918, 5.541]"
aegis-ship-pod,10,6,5,15.761,0.089,False,True,0,0,0.0,,0,0.0,0.0008,4,3.49,"[4.044, 14.119, 5.721]"
aegis-veteran,56,142,73,99.325,0.428,False,True,0,0,0.0,,18,-0.45,0.3048,6,3.31,"[25.387, 46.556, 83.985]"
aegis-veteran,16,96,50,73.016,0.315,False,True,0,0,0.0,,20,-0.394,0.167,6,2.87,"[21.608, 61.999, 31.946]"
aegis-veteran,2,82,43,31.843,0.137,False,True,0,0,0.0,,19,0.24,0.431,6,7.43,"[3.68, 15.906, 27.339]"
aegis-veteran,67,82,43,31.843,0.137,False,True,0,0,0.0,,18,0.295,0.4311,6,7.43,"[3.68, 15.906, 27.339]"
aegis-veteran,64,64,34,29.157,0.126,False,True,0,0,0.0,,22,-0.058,0.4808,6,6.5,"[4.282, 7.483, 27.854]"
aegis-veteran,10,64,34,29.157,0.126,False,True,0,0,0.0,,22,-0.058,0.4808,6,6.5,"[4.282, 7.483, 27.854]"
