asset,file_kb,awd_version,compressed,geometry_blocks,mesh_objects,render_objects,anchor_objects,anchor_tris,materials,material_names,object_names,has_skeleton,vertex_anim_blocks,embedded_textures,stream_types,stores_normals,stores_uv,stores_uv1,stores_skin,bbox_x,bbox_y,bbox_z,bbox_diag,verts_stored,verts_welded,vertex_split_ratio,tris,degenerate_tris,duplicate_faces,edges,boundary_edges,nonmanifold_edges,open_shell,euler_chi,surface_area,manifold_edge_pairs,hard_edges_gt30,hard_edge_ratio,mean_dihedral_deg,quads_detected,quad_tri_ratio,tris_not_in_quad,coplanar_clusters,max_coplanar_cluster_tris,ngon_clusters_ge3,tris_in_flat_clusters_ge3,islands,largest_island_tri_share,planar_islands,island_bbox_overlaps,has_uv,uv_min_u,uv_max_u,uv_min_v,uv_max_v,uv_tiled,uv_area_sum,uv_coverage,uv_overlap_factor,uv_seam_ratio,texel_density_p50,texel_density_iqr_ratio,has_normals_stream,mirror_x0,mirror_xc,mirror_y0,mirror_yc,mirror_z0,mirror_zc,best_mirror,best_mirror_frac,rot_sym_order,rot_sym_axis,rot_sym_frac,tri_share_x_upper_half,tri_share_y_upper_half,tri_share_z_upper_half,tri_share_outer_third_radial,area_share_outer_third_radial
fx_loot_demaner_freighter_box_pink,2.7,2.1,1,1,1,1,0,0,1,Object001,Object001,False,0,0,1|2|3,False,True,False,False,1.0227999687194824,0.8804999887943268,1.6236000061035156,2.111273782837915,197,113,1.743,214,0,0,321,0,0,False,6,10.465336766789369,321,155,0.483,31.17,84,0.785,46,102,14,18,88,3,0.664,0,2,True,0.009800000116229057,0.9937999844551086,0.00839999970048666,0.9876000285148621,False,1.1001,0.8003,1.37,0.426,0.35581,1.87,False,0.354,0.354,0.0,0.0,0.973,0.973,mirror_z0,0.973,0,,0.0,0.495,0.692,0.505,0.364,0.393
fx_loot_demaner_freighter_box_pink_1,2.7,2.1,1,1,1,1,0,0,1,Object001,Object001,False,0,0,1|2|3,False,True,False,False,1.0227999687194824,0.8804999887943268,1.6236000061035156,2.111273782837915,197,113,1.743,214,0,0,321,0,0,False,6,10.465336766789369,321,155,0.483,31.17,84,0.785,46,102,14,18,88,3,0.664,0,2,True,0.009800000116229057,0.9937999844551086,0.00839999970048666,0.9876000285148621,False,1.1001,0.8003,1.37,0.426,0.35581,1.87,False,0.354,0.354,0.0,0.0,0.973,0.973,mirror_z0,0.973,0,,0.0,0.495,0.692,0.505,0.364,0.393
fx_loot_demaner_freighter_box_pink_2,4.7,2.1,1,1,1,1,0,0,1,fx_loot_box_demaner_freigter_pink_2,fx_loot_box_demaner_freigter_pink_2,False,0,0,1|2|3,False,True,False,False,1.700700044631958,1.7089000344276428,0.9523999989032745,2.592254950306567,394,226,1.743,428,0,0,642,0,0,False,12,5.9877436826036,642,310,0.483,31.17,168,0.785,92,204,14,36,176,6,0.332,0,4,True,0.009800000116229057,0.9937999844551086,0.00839999970048666,0.9876000285148621,False,2.2001,0.8003,2.75,0.426,0.6642,1.87,False,0.0,0.0,0.0,0.0,0.5,0.0,mirror_z0,0.5,0,,0.0,0.5,0.5,0.451,0.505,0.507
fx_loot_firework_glow,0.3,2.1,1,1,1,1,0,0,1,fx_loot_firework_glow,fx_loot_firework_glow,False,0,0,1|2|3,False,True,False,False,1.0,1.0,1.0,1.7320508075688772,24,8,3.0,12,0,0,18,0,0,False,2,6.0,18,12,0.667,60.0,6,1.0,0,6,2,0,0,1,1.0,0,0,True,0.9565839767456055,0.9967309832572937,0.9282379746437073,0.9683849811553955,False,0.0097,0.002,4.82,0.667,0.04015,1.0,False,1.0,1.0,1.0,1.0,1.0,1.0,mirror_x0,1.0,4,x,1.0,0.5,0.5,0.5,0.667,0.667
fx_loot_firework_metal_shell,11.6,2.1,1,1,1,1,0,0,1,fx_loot_firework_metal_shell,fx_loot_firework_metal_shell,False,0,0,1|2|3,False,True,False,False,1.0889159440994263,1.064911961555481,1.1307140588760376,1.8969158394925723,1504,880,1.709,1440,0,8,2332,376,16,True,-12,8.341949187641015,1940,844,0.435,35.47,696,0.967,48,576,11,56,416,9,0.944,0,8,True,-0.5773029923439026,1.6143590211868286,0.009061000309884548,0.8832579851150513,True,15.8328,0.8736,18.12,0.415,1.19474,2.01,False,1.0,1.0,1.0,1.0,1.0,1.0,mirror_x0,1.0,0,,0.0,0.494,0.5,0.5,0.85,0.766
fx_loot_flower,11.4,2.1,1,1,1,1,0,0,1,fx_loot_flowers,fx_loot_flowers,False,0,0,1|2|3,False,True,False,False,1.2935460209846497,1.8940180540084839,1.3246139883995056,2.648616226556605,713,708,1.007,660,0,0,1332,684,0,True,36,2.9692973196046912,648,52,0.08,9.26,242,0.733,176,413,3,5,15,36,0.085,0,253,True,0.0,1.0,0.0,0.9135609865188599,False,4.6968,0.5764,8.15,0.007,1.30424,1.29,False,0.076,0.017,0.008,0.0,0.073,0.008,mirror_x0,0.076,0,,0.0,0.445,0.918,0.283,0.186,0.101
fx_loot_flower_glow,2.1,2.1,1,1,1,1,0,0,1,fx_loot_flowers_glow,fx_loot_flowers_glow,False,0,0,1|2|3,False,True,False,False,1.8422889709472656,1.2142449915409088,1.8725839853286743,2.8939575556779573,168,120,1.4,96,0,0,204,120,0,True,12,3.117278590211569,84,0,0.0,0.0,48,1.0,0,12,8,12,96,12,0.083,12,31,True,0.011688999831676483,0.9846259951591492,0.0,1.0,False,11.6315,0.0038,3036.98,0.286,1.84871,1.62,False,0.0,0.025,0.008,0.017,0.017,0.017,mirror_xc,0.025,0,,0.0,0.417,0.635,0.469,0.344,0.437
fx_loot_mega_chest,17.0,2.1,1,1,1,1,0,0,1,fx_loot_mega_chest,fx_loot_mega_chest,False,0,0,1|2|3,False,True,False,False,2.4154460430145264,1.8924829959869385,1.4874619841575623,3.4100461332844434,1633,1106,1.476,1918,0,0,2989,224,0,True,35,29.07544151172296,2765,922,0.333,26.48,407,0.424,1104,1471,14,20,112,29,0.377,8,42,True,-5.397288799285889,7.857701778411865,0.006107000168412924,0.9940410256385803,True,29.0864,0.8944,32.52,0.323,0.60484,9.98,False,1.0,1.0,0.0,0.206,0.83,0.013,mirror_x0,1.0,0,,0.0,0.5,0.482,0.527,0.232,0.202
fx_loot_mega_chest_glow,0.7,2.1,1,1,1,1,0,0,1,fx_loot_mega_chest_glow,fx_loot_mega_chest_glow,False,0,0,1|2|3,False,True,False,False,3.0234960317611694,2.459802985191345,1.5501539707183838,4.194655684673745,40,40,1.0,20,0,0,50,40,0,True,10,15.531718891009659,10,0,0.0,0.0,10,1.0,0,10,2,0,0,10,0.1,10,22,True,0.0,1.0,0.0,1.0,False,10.0,0.0,655360.0,0.0,0.86581,1.07,False,0.0,0.1,0.0,0.0,0.0,0.0,mirror_xc,0.1,0,,0.0,0.5,0.8,0.2,0.45,0.384
fx_loot_present_blue_red,6.0,2.1,1,1,1,1,0,0,1,fx_loot_present_blue_red,fx_loot_present_blue_red,False,0,0,1|2|3,False,True,False,False,1.0580750107765198,1.2779120206832886,1.0394819974899292,1.9578316281392103,407,325,1.252,560,0,0,880,80,0,True,5,9.903099869418085,800,144,0.18,24.52,210,0.75,140,270,18,21,198,8,0.257,0,22,True,0.41335299611091614,0.9972040057182312,0.9211509823799133,0.9940869808197021,False,0.0032,0.002,1.63,0.201,0.01786,6.02,False,0.357,0.012,0.098,0.0,0.348,0.348,mirror_x0,0.357,0,,0.0,0.495,0.832,0.721,0.525,0.604
