file,asset,channel,name_size,width,height,mips,format,format_id,cube,bytes
aegis-elite_design_a-elite-poison_glow_128.atf,aegis-elite_design_a-elite-poison,glow,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,6264
aegis-elite_design_a-elite-poison_glow_256.atf,aegis-elite_design_a-elite-poison,glow,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,13830
aegis-elite_design_a-elite-poison_glow_512.atf,aegis-elite_design_a-elite-poison,glow,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,33660
aegis-elite_design_a-elite-sandstorm_diffuse_128.atf,aegis-elite_design_a-elite-sandstorm,diffuse,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,12306
aegis-elite_design_a-elite-sandstorm_diffuse_256.atf,aegis-elite_design_a-elite-sandstorm,diffuse,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,39169
aegis-elite_design_a-elite-sandstorm_diffuse_512.atf,aegis-elite_design_a-elite-sandstorm,diffuse,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,136039
aegis-elite_design_a-elite-sandstorm_glow_128.atf,aegis-elite_design_a-elite-sandstorm,glow,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,6448
aegis-elite_design_a-elite-sandstorm_glow_256.atf,aegis-elite_design_a-elite-sandstorm,glow,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,14500
aegis-elite_design_a-elite-sandstorm_glow_512.atf,aegis-elite_design_a-elite-sandstorm,glow,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,35589
aegis-elite_normal_128.atf,aegis-elite,normal,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,11955
aegis-elite_normal_256.atf,aegis-elite,normal,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,39148
aegis-elite_normal_512.atf,aegis-elite,normal,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,132759
aegis-elite_specular_128.atf,aegis-elite,specular,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,9692
aegis-elite_specular_256.atf,aegis-elite,specular,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,32989
aegis-elite_specular_512.atf,aegis-elite,specular,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,123402
aegis-mmo-elite_diffuse_128.atf,aegis-mmo-elite,diffuse,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,11364
aegis-mmo-elite_diffuse_256.atf,aegis-mmo-elite,diffuse,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,36790
aegis-mmo-elite_diffuse_512.atf,aegis-mmo-elite,diffuse,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,129086
aegis-mmo-veteran_diffuse_128.atf,aegis-mmo-veteran,diffuse,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,12832
aegis-mmo-veteran_diffuse_256.atf,aegis-mmo-veteran,diffuse,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,42167
aegis-mmo-veteran_diffuse_512.atf,aegis-mmo-veteran,diffuse,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,147364
aegis-mmo_diffuse_128.atf,aegis-mmo,diffuse,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,11343
aegis-mmo_diffuse_256.atf,aegis-mmo,diffuse,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,36778
aegis-mmo_diffuse_512.atf,aegis-mmo,diffuse,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,130646
aegis-mmo_specular_128.atf,aegis-mmo,specular,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,10977
aegis-mmo_specular_256.atf,aegis-mmo,specular,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,37280
aegis-mmo_specular_512.atf,aegis-mmo,specular,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,136563
aegis-repair-cross_diffuse_128.atf,aegis-repair-cross,diffuse,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,8749
aegis-repair-cross_diffuse_256.atf,aegis-repair-cross,diffuse,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,21975
aegis-repair-cross_diffuse_512.atf,aegis-repair-cross,diffuse,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,57475
aegis-repair-cross_glow_128.atf,aegis-repair-cross,glow,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,8777
aegis-repair-cross_glow_256.atf,aegis-repair-cross,glow,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,21987
aegis-repair-cross_glow_512.atf,aegis-repair-cross,glow,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,57926
aegis-repair-cross_normal_128.atf,aegis-repair-cross,normal,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,8484
aegis-repair-cross_normal_256.atf,aegis-repair-cross,normal,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,24118
aegis-repair-cross_normal_512.atf,aegis-repair-cross,normal,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,75956
aegis-veteran_glow_128.atf,aegis-veteran,glow,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,4174
aegis-veteran_glow_256.atf,aegis-veteran,glow,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,8521
aegis-veteran_glow_512.atf,aegis-veteran,glow,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,20009
aegis-veteran_normal_128.atf,aegis-veteran,normal,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,11926
aegis-veteran_normal_256.atf,aegis-veteran,normal,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,38791
aegis-veteran_normal_512.atf,aegis-veteran,normal,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,130665
aegis-veteran_specular_128.atf,aegis-veteran,specular,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,9739
aegis-veteran_specular_256.atf,aegis-veteran,specular,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,32806
aegis-veteran_specular_512.atf,aegis-veteran,specular,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,122917
aegis-vru-elite_diffuse_128.atf,aegis-vru-elite,diffuse,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,11300
aegis-vru-elite_diffuse_256.atf,aegis-vru-elite,diffuse,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,36777
aegis-vru-elite_diffuse_512.atf,aegis-vru-elite,diffuse,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,129144
aegis-vru-veteran_diffuse_128.atf,aegis-vru-veteran,diffuse,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,12530
aegis-vru-veteran_diffuse_256.atf,aegis-vru-veteran,diffuse,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,41523
aegis-vru-veteran_diffuse_512.atf,aegis-vru-veteran,diffuse,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,145411
aegis-vru_diffuse_128.atf,aegis-vru,diffuse,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,10937
aegis-vru_diffuse_256.atf,aegis-vru,diffuse,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,36035
aegis-vru_diffuse_512.atf,aegis-vru,diffuse,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,130152
aegis-vru_specular_128.atf,aegis-vru,specular,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,10695
aegis-vru_specular_256.atf,aegis-vru,specular,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,37105
aegis-vru_specular_512.atf,aegis-vru,specular,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,138356
aegis_diffuse_128.atf,aegis,diffuse,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,10105
aegis_diffuse_256.atf,aegis,diffuse,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,33805
aegis_diffuse_512.atf,aegis,diffuse,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,123725
aegis_glow_128.atf,aegis,glow,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,4644
aegis_glow_256.atf,aegis,glow,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,10212
aegis_glow_512.atf,aegis,glow,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,24641
aegis_normal_128.atf,aegis,normal,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,11887
aegis_normal_256.atf,aegis,normal,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,38798
aegis_normal_512.atf,aegis,normal,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,131742
aegis_specular_128.atf,aegis,specular,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,9701
aegis_specular_256.atf,aegis,specular,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,33006
aegis_specular_512.atf,aegis,specular,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,121709
annihilator_diffuse_128.atf,annihilator,diffuse,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,11142
annihilator_diffuse_256.atf,annihilator,diffuse,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,35942
annihilator_diffuse_512.atf,annihilator,diffuse,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,125324
annihilator_glow_128.atf,annihilator,glow,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,4929
annihilator_glow_256.atf,annihilator,glow,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,9065
annihilator_glow_512.atf,annihilator,glow,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,18968
annihilator_normal_128.atf,annihilator,normal,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,11536
annihilator_normal_256.atf,annihilator,normal,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,37275
annihilator_normal_512.atf,annihilator,normal,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,123983
annihilator_specular_128.atf,annihilator,specular,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,9224
annihilator_specular_256.atf,annihilator,specular,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,29300
annihilator_specular_512.atf,annihilator,specular,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,100906
asset-eic-asteroid_diffuse_128.atf,asset-eic-asteroid,diffuse,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,10659
asset-eic-asteroid_diffuse_256.atf,asset-eic-asteroid,diffuse,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,36277
asset-eic-asteroid_diffuse_512.atf,asset-eic-asteroid,diffuse,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,135678
asset-eic-asteroid_normal_128.atf,asset-eic-asteroid,normal,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,10611
asset-eic-asteroid_normal_256.atf,asset-eic-asteroid,normal,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,34450
asset-eic-asteroid_normal_512.atf,asset-eic-asteroid,normal,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,122519
asset-eic-asteroid_specular_128.atf,asset-eic-asteroid,specular,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,8944
asset-eic-asteroid_specular_256.atf,asset-eic-asteroid,specular,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,29213
asset-eic-asteroid_specular_512.atf,asset-eic-asteroid,specular,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,106312
asset-eic-earth_diffuse_1024.atf,asset-eic-earth,diffuse,1024,1024,1024,11,COMPRESSED(DXT1/PVRTC/ETC1),2,False,497839
asset-eic-earth_diffuse_128.atf,asset-eic-earth,diffuse,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,11110
asset-eic-earth_diffuse_256.atf,asset-eic-earth,diffuse,256,256,256,9,COMPRESSED(DXT1/PVRTC/ETC1),2,False,36718
asset-eic-earth_diffuse_512.atf,asset-eic-earth,diffuse,512,512,512,10,COMPRESSED(DXT1/PVRTC/ETC1),2,False,132952
asset-eic-earth_normal_1024.atf,asset-eic-earth,normal,1024,1024,1024,11,COMPRESSED(DXT1/PVRTC/ETC1),2,False,473322
asset-eic-earth_normal_128.atf,asset-eic-earth,normal,128,128,128,8,COMPRESSED(DXT1/PVRTC/ETC1),2,False,10019
